YEAR,Number of Cyclones,month
1972,0,AUG
1973,0,AUG
1974,1,AUG
1975,0,AUG
1976,0,AUG
1977,0,AUG
1978,1,AUG
1979,1,AUG
1980,0,AUG
1981,1,AUG
1982,0,AUG
1983,0,AUG
1984,0,AUG
1985,0,AUG
1986,0,AUG
1987,0,AUG
1988,0,AUG
1989,0,AUG
1990,0,AUG
1991,0,AUG
1992,0,AUG
1993,0,AUG
1994,0,AUG
1995,0,AUG
1996,0,AUG
1997,0,AUG
1998,0,AUG
1999,0,AUG
2000,0,AUG
2001,0,AUG
2002,0,AUG
2003,0,AUG
2004,0,AUG
2005,0,AUG
2006,0,AUG
2007,0,AUG
2008,0,AUG
2009,0,AUG
2010,0,AUG
2011,0,AUG
2012,0,AUG
1951,0,SEP
1952,0,SEP
1953,0,SEP
1954,1,SEP
1955,2,SEP
1956,0,SEP
1957,0,SEP
1958,0,SEP
1959,1,SEP
1960,0,SEP
1961,1,SEP
1962,1,SEP
1963,0,SEP
1964,0,SEP
1965,0,SEP
1966,2,SEP
1967,0,SEP
1968,2,SEP
1969,0,SEP
1970,1,SEP
1971,1,SEP
1972,2,SEP
1973,0,SEP
1974,2,SEP
1975,0,SEP
1976,2,SEP
1977,0,SEP
1978,0,SEP
1979,1,SEP
1980,0,SEP
1981,1,SEP
1982,0,SEP
1983,0,SEP
1984,0,SEP
1985,1,SEP
1986,0,SEP
1987,0,SEP
1988,0,SEP
1989,0,SEP
1990,0,SEP
1991,0,SEP
1992,0,SEP
1993,0,SEP
1994,0,SEP
1995,0,SEP
1996,0,SEP
1997,1,SEP
1998,0,SEP
1999,0,SEP
2000,0,SEP
2001,1,SEP
2002,0,SEP
2003,0,SEP
2004,0,SEP
2005,1,SEP
2006,1,SEP
2007,0,SEP
2008,0,SEP
2009,0,SEP
2010,0,SEP
2011,0,SEP
2012,0,SEP
1951,0,OCT
1952,0,OCT
1953,0,OCT
1954,0,OCT
1955,1,OCT
1956,1,OCT
1957,0,OCT
1958,2,OCT
1959,1,OCT
1960,2,OCT
1961,0,OCT
1962,1,OCT
1963,3,OCT
1964,0,OCT
1965,0,OCT
1966,0,OCT
1967,3,OCT
1968,1,OCT
1969,2,OCT
1970,1,OCT
1971,2,OCT
1972,1,OCT
1973,1,OCT
1974,0,OCT
1975,1,OCT
1976,2,OCT
1977,1,OCT
1978,1,OCT
1979,0,OCT
1980,1,OCT
1981,1,OCT
1982,2,OCT
1983,2,OCT
1984,1,OCT
1985,2,OCT
1986,0,OCT
1987,1,OCT
1988,1,OCT
1989,0,OCT
1990,0,OCT
1991,0,OCT
1992,1,OCT
1993,0,OCT
1994,1,OCT
1995,1,OCT
1996,1,OCT
1997,0,OCT
1998,1,OCT
1999,2,OCT
2000,1,OCT
2001,2,OCT
2002,0,OCT
2003,0,OCT
2004,1,OCT
2005,0,OCT
2006,1,OCT
2007,0,OCT
2008,1,OCT
2009,0,OCT
2010,1,OCT
2011,0,OCT
2012,2,OCT
1951,1,NOV
1952,2,NOV
1953,0,NOV
1954,0,NOV
1955,2,NOV
1956,0,NOV
1957,1,NOV
1958,2,NOV
1959,0,NOV
1960,1,NOV
1961,0,NOV
1962,1,NOV
1963,0,NOV
1964,3,NOV
1965,1,NOV
1966,4,NOV
1967,0,NOV
1968,2,NOV
1969,1,NOV
1970,2,NOV
1971,1,NOV
1972,1,NOV
1973,2,NOV
1974,1,NOV
1975,3,NOV
1976,2,NOV
1977,3,NOV
1978,2,NOV
1979,1,NOV
1980,0,NOV
1981,2,NOV
1982,1,NOV
1983,1,NOV
1984,2,NOV
1985,1,NOV
1986,1,NOV
1987,2,NOV
1988,2,NOV
1989,1,NOV
1990,0,NOV
1991,1,NOV
1992,3,NOV
1993,1,NOV
1994,1,NOV
1995,2,NOV
1996,1,NOV
1997,1,NOV
1998,2,NOV
1999,0,NOV
2000,1,NOV
2001,0,NOV
2002,2,NOV
2003,1,NOV
2004,0,NOV
2005,1,NOV
2006,0,NOV
2007,1,NOV
2008,2,NOV
2009,1,NOV
2010,1,NOV
2011,1,NOV
2012,0,NOV
1951,1,DEC
1952,0,DEC
1953,0,DEC
1954,1,DEC
1955,0,DEC
1956,0,DEC
1957,1,DEC
1958,0,DEC
1959,0,DEC
1960,0,DEC
1961,0,DEC
1962,1,DEC
1963,1,DEC
1964,1,DEC
1965,3,DEC
1966,1,DEC
1967,1,DEC
1968,1,DEC
1969,1,DEC
1970,0,DEC
1971,1,DEC
1972,1,DEC
1973,1,DEC
1974,0,DEC
1975,0,DEC
1976,1,DEC
1977,0,DEC
1978,0,DEC
1979,0,DEC
1980,2,DEC
1981,1,DEC
1982,0,DEC
1983,0,DEC
1984,0,DEC
1985,1,DEC
1986,0,DEC
1987,0,DEC
1988,0,DEC
1989,0,DEC
1990,1,DEC
1991,0,DEC
1992,0,DEC
1993,1,DEC
1994,0,DEC
1995,0,DEC
1996,1,DEC
1997,0,DEC
1998,1,DEC
1999,0,DEC
2000,1,DEC
2001,0,DEC
2002,0,DEC
2003,1,DEC
2004,1,DEC
2005,1,DEC
2006,0,DEC
2007,0,DEC
2008,0,DEC
2009,1,DEC
2010,0,DEC
2011,1,DEC
2012,0,DEC
1951,4,ANNUAL
1952,4,ANNUAL
1953,2,ANNUAL
1954,2,ANNUAL
1955,6,ANNUAL
1956,4,ANNUAL
1957,3,ANNUAL
1958,5,ANNUAL
1959,6,ANNUAL
1960,5,ANNUAL
1961,5,ANNUAL
1962,5,ANNUAL
1963,6,ANNUAL
1964,7,ANNUAL
1965,6,ANNUAL
1966,8,ANNUAL
1967,6,ANNUAL
1968,7,ANNUAL
1969,6,ANNUAL
1970,7,ANNUAL
1971,7,ANNUAL
1972,7,ANNUAL
1973,6,ANNUAL
1974,7,ANNUAL
1975,7,ANNUAL
1976,9,ANNUAL
1977,6,ANNUAL
1978,5,ANNUAL
1979,5,ANNUAL
1980,3,ANNUAL
1981,6,ANNUAL
1982,5,ANNUAL
1983,3,ANNUAL
1984,3,ANNUAL
1985,7,ANNUAL
1986,1,ANNUAL
1987,5,ANNUAL
1988,3,ANNUAL
1989,3,ANNUAL
1990,2,ANNUAL
1991,3,ANNUAL
1992,6,ANNUAL
1993,2,ANNUAL
1994,4,ANNUAL
1995,3,ANNUAL
1996,5,ANNUAL
1997,3,ANNUAL
1998,6,ANNUAL
1999,4,ANNUAL
